Question,Logical Formula,Sparql Query
68. Give the movies which features both  Liz Taylor and Richard Burton ?,(fb:phrase.prop.picture (and (fb:phrase.prop.field fb:phrase.Liz_The_Elizabeth_Taylor_Story) fb:phrase.Hilarie_Burton)),SELECT DISTINCT ?x3 WHERE { ?x1 dbo:field dbr:Liz:_The_Elizabeth_Taylor_Story . FILTER (?x1 = dbr:Hilarie_Burton) . ?x1 fb:type.object.type ?x2 . ?x3 dbo:picture ?x1 }
69. Which English actors starred in Lovesick .,(and fb:phrase.English (fb:phrase.prop.artist (fb:phrase.prop.starring fb:phrase.Lovesick_Blues))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 dbo:starring dbr:Lovesick_Blues . dbr:English dbo:artist ?x1 . FILTER (?x2 = dbr:English) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
69. Which English actors starred in Lovesick .,(and fb:phrase.English (fb:phrase.prop.artist (fb:phrase.prop.starring fb:phrase.Torasans_Lovesick))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 dbo:starring dbr:Tora-san's_Lovesick . dbr:English dbo:artist ?x1 . FILTER (?x2 = dbr:English) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
69. Which English actors starred in Lovesick .,(and fb:phrase.English (fb:phrase.prop.artist (fb:phrase.prop.starring fb:phrase.Scrotal_Recall))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 dbo:starring dbr:Scrotal_Recall . dbr:English dbo:artist ?x1 . FILTER (?x2 = dbr:English) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
70. Where is Limerick Lake found?,((reverse fb:phrase.prop.ground) fb:phrase.Limerick_Lake),SELECT DISTINCT ?x1 WHERE { dbr:Limerick_Lake dbo:ground ?x1 }
70. Where is Limerick Lake found?,((reverse fb:phrase.prop.place) fb:phrase.Limerick_Lake),SELECT DISTINCT ?x1 WHERE { dbr:Limerick_Lake dbo:place ?x1 }
70. Where is Limerick Lake found?,((reverse fb:phrase.prop.ground) fb:phrase.Limerick_Maine),"SELECT DISTINCT ?x1 WHERE { dbr:Limerick,_Maine dbo:ground ?x1 }"
71. In which year was Jack Wolfskin founded?,(fb:phrase.prop.year ((reverse fb:phrase.prop.foundedBy) fb:phrase.Jack_Wolfskin)),SELECT DISTINCT ?x2 WHERE { dbr:Jack_Wolfskin dbo:foundedBy ?x1 . ?x2 dbo:year ?x1 }
71. In which year was Jack Wolfskin founded?,(fb:phrase.prop.year ((reverse fb:phrase.prop.established) fb:phrase.Jack_Wolfskin)),SELECT DISTINCT ?x2 WHERE { dbr:Jack_Wolfskin dbo:established ?x1 . ?x2 dbo:year ?x1 }
71. In which year was Jack Wolfskin founded?,(fb:phrase.prop.year ((reverse fb:phrase.prop.foundedBy) fb:phrase.Wolfskin)),SELECT DISTINCT ?x2 WHERE { dbr:Wolfskin dbo:foundedBy ?x1 . ?x2 dbo:year ?x1 }
72. what is the population of Australia capital ?,((reverse fb:phrase.prop.country) fb:phrase.Capitalism),SELECT DISTINCT ?x1 WHERE { dbr:Capitalism dbo:country ?x1 }
72. what is the population of Australia capital ?,((reverse fb:phrase.prop.country) fb:phrase.Clarium_Capital),SELECT DISTINCT ?x1 WHERE { dbr:Clarium_Capital dbo:country ?x1 }
72. what is the population of Australia capital ?,((reverse fb:phrase.prop.country) fb:phrase.Capital_punishment_in_Australia),SELECT DISTINCT ?x1 WHERE { dbr:Capital_punishment_in_Australia dbo:country ?x1 }
73. What is the name of the biggest stadium in Spain ?,(fb:phrase.prop.ground fb:phrase.Spain),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:ground dbr:Spain }
73. What is the name of the biggest stadium in Spain ?,(fb:phrase.prop.ground fb:phrase.Vilches_Spain),"SELECT DISTINCT ?x1 WHERE { ?x1 dbo:ground dbr:Vilches,_Spain }"
73. What is the name of the biggest stadium in Spain ?,(fb:phrase.prop.ground fb:phrase.Toledo_Spain),"SELECT DISTINCT ?x1 WHERE { ?x1 dbo:ground dbr:Toledo,_Spain }"
74. In which year did the Boston Tea Party happen?,(fb:phrase.prop.year ((reverse fb:phrase.prop.party) fb:phrase.Tea_Party_Express)),SELECT DISTINCT ?x2 WHERE { dbr:Tea_Party_Express dbo:party ?x1 . ?x2 dbo:year ?x1 }
74. In which year did the Boston Tea Party happen?,(fb:phrase.prop.year ((reverse fb:phrase.prop.result) fb:phrase.Tea_Party_Express)),SELECT DISTINCT ?x2 WHERE { dbr:Tea_Party_Express dbo:result ?x1 . ?x2 dbo:year ?x1 }
74. In which year did the Boston Tea Party happen?,(fb:phrase.prop.year ((reverse fb:phrase.prop.event) fb:phrase.Tea_Party_Express)),SELECT DISTINCT ?x2 WHERE { dbr:Tea_Party_Express dbo:event ?x1 . ?x2 dbo:year ?x1 }
75. Show me the book that was written by Muhammad Ali.,(and (fb:rdf.type.prop fb:nounphrase.Book) (fb:phrase.prop.author fb:phrase.Ali_Nasir_Muhammad)),SELECT DISTINCT ?x1 WHERE { ?x1 rdf:type dbr:Facebook . ?x1 dbo:author dbr:Ali_Nasir_Muhammad }
75. Show me the book that was written by Muhammad Ali.,(and (fb:rdf.type.prop fb:nounphrase.Book) (fb:phrase.prop.author fb:phrase.Muhammad_Ali)),SELECT DISTINCT ?x1 WHERE { ?x1 rdf:type dbr:Facebook . ?x1 dbo:author dbr:Muhammad_Ali }
75. Show me the book that was written by Muhammad Ali.,(and (fb:rdf.type.prop fb:nounphrase.Book) (fb:phrase.prop.author fb:phrase.Muhammad_Mansur_Ali)),SELECT DISTINCT ?x1 WHERE { ?x1 rdf:type dbr:Facebook . ?x1 dbo:author dbr:Muhammad_Mansur_Ali }
76. Which movies were directed by Guy Ritchie with Mickey Rourke being an actor in them?,(fb:phrase.prop.picture (fb:phrase.prop.director (and fb:phrase.Guy_Ritchie ((reverse fb:phrase.prop.artist) fb:phrase.Mickey_Rourke)))),SELECT DISTINCT ?x2 WHERE { dbr:Mickey_Rourke dbo:artist dbr:Guy_Ritchie . ?x1 dbo:director dbr:Guy_Ritchie . ?x2 dbo:picture ?x1 }
76. Which movies were directed by Guy Ritchie with Mickey Rourke being an actor in them?,(fb:phrase.prop.picture (fb:phrase.prop.director (and fb:phrase.Guy_Ritchie ((reverse fb:phrase.prop.artist) fb:phrase.Mickey_Rourke_filmography)))),SELECT DISTINCT ?x2 WHERE { dbr:Mickey_Rourke_filmography dbo:artist dbr:Guy_Ritchie . ?x1 dbo:director dbr:Guy_Ritchie . ?x2 dbo:picture ?x1 }
76. Which movies were directed by Guy Ritchie with Mickey Rourke being an actor in them?,(fb:phrase.prop.picture (fb:phrase.prop.director (and fb:phrase.Guy_Ritchie ((reverse fb:phrase.prop.artist) fb:phrase.Andy_Rourke)))),SELECT DISTINCT ?x2 WHERE { dbr:Andy_Rourke dbo:artist dbr:Guy_Ritchie . ?x1 dbo:director dbr:Guy_Ritchie . ?x2 dbo:picture ?x1 }
77. Is there any manufacturing plant of Ford Motor Company in Malaysia?,((reverse fb:phrase.prop.position) (and fb:phrase.Ford_Motor_Company fb:phrase.Malaysia)),SELECT DISTINCT ?x1 WHERE { FILTER (dbr:Ford_Motor_Company = dbr:Malaysia) . dbr:Ford_Motor_Company dbo:position ?x1 }
77. Is there any manufacturing plant of Ford Motor Company in Malaysia?,((reverse fb:phrase.prop.position) (and fb:phrase.Ford_Motor_Company fb:phrase.Corruption_in_Malaysia)),SELECT DISTINCT ?x1 WHERE { FILTER (dbr:Ford_Motor_Company = dbr:Corruption_in_Malaysia) . dbr:Ford_Motor_Company dbo:position ?x1 }
77. Is there any manufacturing plant of Ford Motor Company in Malaysia?,((reverse fb:phrase.prop.position) (and fb:phrase.Ford_Motor_Company fb:phrase.Music_of_Malaysia)),SELECT DISTINCT ?x1 WHERE { FILTER (dbr:Ford_Motor_Company = dbr:Music_of_Malaysia) . dbr:Ford_Motor_Company dbo:position ?x1 }
78. what all books  Danielle Steel authored?,(fb:phrase.prop.volume ((reverse fb:phrase.prop.author) fb:phrase.Danielle_Steel)),SELECT DISTINCT ?x2 WHERE { dbr:Danielle_Steel dbo:author ?x1 . ?x2 dbo:volume ?x1 }
78. what all books  Danielle Steel authored?,(fb:phrase.prop.volume ((reverse fb:phrase.prop.writer) fb:phrase.Danielle_Steel)),SELECT DISTINCT ?x2 WHERE { dbr:Danielle_Steel dbo:writer ?x1 . ?x2 dbo:volume ?x1 }
78. what all books  Danielle Steel authored?,(fb:phrase.prop.volume ((reverse fb:phrase.prop.author) fb:phrase.Danielle_Steels_Star)),SELECT DISTINCT ?x2 WHERE { dbr:Danielle_Steel's_Star dbo:author ?x1 . ?x2 dbo:volume ?x1 }
79. Where Sungkyunkwan University is located ?,((reverse fb:phrase.prop.location) fb:phrase.Sungkyunkwan_University),SELECT DISTINCT ?x1 WHERE { dbr:Sungkyunkwan_University dbo:location ?x1 }
79. Where Sungkyunkwan University is located ?,((reverse fb:phrase.prop.locatedInArea) fb:phrase.Sungkyunkwan_University),SELECT DISTINCT ?x1 WHERE { dbr:Sungkyunkwan_University dbo:locatedInArea ?x1 }
79. Where Sungkyunkwan University is located ?,((reverse fb:phrase.prop.part) fb:phrase.Sungkyunkwan_University),SELECT DISTINCT ?x1 WHERE { dbr:Sungkyunkwan_University dbo:part ?x1 }
80. list all the museums in  London .,(fb:phrase.prop.museum fb:phrase.London),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:museum dbr:London }
80. list all the museums in  London .,(fb:phrase.prop.museum fb:phrase.london),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:museum dbr:.london }
80. list all the museums in  London .,(fb:phrase.prop.museum fb:phrase.London_Gold),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:museum dbr:London_Gold }
81. What was the marital status of Sigmund Freud ?,((reverse fb:phrase.prop.status) fb:phrase.Sigmund_Freud),SELECT DISTINCT ?x1 WHERE { dbr:Sigmund_Freud dbo:status ?x1 }
81. What was the marital status of Sigmund Freud ?,((reverse fb:phrase.prop.status) fb:phrase.The_Life_and_Work_of_Sigmund_Freud),SELECT DISTINCT ?x1 WHERE { dbr:The_Life_and_Work_of_Sigmund_Freud dbo:status ?x1 }
81. What was the marital status of Sigmund Freud ?,((reverse fb:phrase.prop.status) fb:phrase.Walter_Freud),SELECT DISTINCT ?x1 WHERE { dbr:Walter_Freud dbo:status ?x1 }
82. Mars has how many moons?,((reverse fb:phrase.prop.province) fb:phrase.Mars),SELECT DISTINCT ?x1 WHERE { dbr:Mars dbo:province ?x1 }
82. Mars has how many moons?,((reverse fb:phrase.prop.province) fb:phrase.Semper_Mars),SELECT DISTINCT ?x1 WHERE { dbr:Semper_Mars dbo:province ?x1 }
82. Mars has how many moons?,((reverse fb:phrase.prop.province) fb:phrase.MAR),SELECT DISTINCT ?x1 WHERE { dbr:MAR dbo:province ?x1 }
83. What is the form of government in Russia?,((reverse fb:phrase.prop.ground) (fb:phrase.prop.government fb:phrase.Russia)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:government dbr:Russia . ?x1 dbo:ground ?x2 }
83. What is the form of government in Russia?,((reverse fb:phrase.prop.ground) (fb:phrase.prop.government fb:phrase.Armenians_in_Russia)),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:government dbr:Armenians_in_Russia . ?x1 dbo:ground ?x2 }
83. What is the form of government in Russia?,((reverse fb:phrase.prop.ground) (fb:phrase.prop.government fb:phrase.Tosu_Russia)),"SELECT DISTINCT ?x2 WHERE { ?x1 dbo:government dbr:Tosu,_Russia . ?x1 dbo:ground ?x2 }"
84. Where is the location of Fort Knox ?,((reverse fb:phrase.prop.location) fb:phrase.Fort_Knox),SELECT DISTINCT ?x1 WHERE { dbr:Fort_Knox dbo:location ?x1 }
84. Where is the location of Fort Knox ?,((reverse fb:phrase.prop.location) fb:phrase.Fort_Knox_Maine),SELECT DISTINCT ?x1 WHERE { dbr:Fort_Knox_(Maine) dbo:location ?x1 }
84. Where is the location of Fort Knox ?,((reverse fb:phrase.prop.location) fb:phrase.Fort_Knox_Five),SELECT DISTINCT ?x1 WHERE { dbr:Fort_Knox_Five dbo:location ?x1 }
85. Give me all actors whose birthplace is Paris and are born post 1950 .,(fb:phrase.prop.artist (and (fb:phrase.prop.country fb:phrase.This_Was_Paris) (fb:phrase.prop.birthPlace fb:phrase.1950s))),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:country dbr:This_Was_Paris . ?x1 dbo:birthPlace dbr:1950s . ?x2 dbo:artist ?x1 }
85. Give me all actors whose birthplace is Paris and are born post 1950 .,(fb:phrase.prop.artist (and (fb:phrase.prop.country fb:phrase.This_Was_Paris) (fb:phrase.prop.birthPlace fb:phrase.List_of_post1950_jazz_standards))),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:country dbr:This_Was_Paris . ?x1 dbo:birthPlace dbr:List_of_post-1950_jazz_standards . ?x2 dbo:artist ?x1 }
85. Give me all actors whose birthplace is Paris and are born post 1950 .,(fb:phrase.prop.artist (and (fb:phrase.prop.country fb:phrase.This_Was_Paris) (fb:phrase.prop.birthPlace fb:phrase.1950))),SELECT DISTINCT ?x2 WHERE { ?x1 dbo:country dbr:This_Was_Paris . ?x1 dbo:birthPlace dbr:1950 . ?x2 dbo:artist ?x1 }
86. Give the name of the professional surfers who wre born in Australia ?,(and fb:phrase.The_Prince_and_the_Surfer (fb:phrase.prop.county fb:phrase.Australia)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:The_Prince_and_the_Surfer dbo:county dbr:Australia . FILTER (?x1 = dbr:The_Prince_and_the_Surfer) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
86. Give the name of the professional surfers who wre born in Australia ?,(and fb:phrase.The_Prince_and_the_Surfer (fb:phrase.prop.county fb:phrase.For_Australia)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:The_Prince_and_the_Surfer dbo:county dbr:For_Australia . FILTER (?x1 = dbr:The_Prince_and_the_Surfer) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
86. Give the name of the professional surfers who wre born in Australia ?,(and fb:phrase.The_Prince_and_the_Surfer (fb:phrase.prop.county fb:phrase.Airservices_Australia)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:The_Prince_and_the_Surfer dbo:county dbr:Airservices_Australia . FILTER (?x1 = dbr:The_Prince_and_the_Surfer) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
87. where did Syngman Rhee last rituals take place?,(and fb:phrase.Syngman_Rhee (fb:phrase.prop.service (fb:rdf.type.prop fb:nounphrase.Place))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 rdf:type dbr:Alliance . dbr:Syngman_Rhee dbo:service ?x1 . FILTER (?x2 = dbr:Syngman_Rhee) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
87. where did Syngman Rhee last rituals take place?,(and fb:phrase.Syngman_Rhee (fb:phrase.prop.service (fb:rdf.type.prop fb:nounphrase.Location))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 rdf:type dbo:location . dbr:Syngman_Rhee dbo:service ?x1 . FILTER (?x2 = dbr:Syngman_Rhee) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
87. where did Syngman Rhee last rituals take place?,(and fb:phrase.Syngman_Rhee (fb:phrase.prop.institution (fb:rdf.type.prop fb:nounphrase.Place))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 rdf:type dbr:Alliance . dbr:Syngman_Rhee dbo:institution ?x1 . FILTER (?x2 = dbr:Syngman_Rhee) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
88. Tell me the name of the official language of Surinam.,((reverse fb:phrase.prop.officialLanguage) fb:phrase.Suriname),SELECT DISTINCT ?x1 WHERE { dbr:Suriname dbo:officialLanguage ?x1 }
88. Tell me the name of the official language of Surinam.,((reverse fb:phrase.prop.officialLanguage) fb:phrase.Wageningen_Suriname),"SELECT DISTINCT ?x1 WHERE { dbr:Wageningen,_Suriname dbo:officialLanguage ?x1 }"
88. Tell me the name of the official language of Surinam.,((reverse fb:phrase.prop.officialLanguage) fb:phrase.Kajana_Suriname),"SELECT DISTINCT ?x1 WHERE { dbr:Kajana,_Suriname dbo:officialLanguage ?x1 }"
89. where was  Frank Sinatra  born?,((reverse fb:phrase.prop.birthPlace) fb:phrase.Frank_Sinatra),SELECT DISTINCT ?x1 WHERE { dbr:Frank_Sinatra dbo:birthPlace ?x1 }
89. where was  Frank Sinatra  born?,((reverse fb:phrase.prop.country) fb:phrase.Frank_Sinatra),SELECT DISTINCT ?x1 WHERE { dbr:Frank_Sinatra dbo:country ?x1 }
89. where was  Frank Sinatra  born?,((reverse fb:phrase.prop.birthPlace) fb:phrase.Frank_Sinatra_filmography),SELECT DISTINCT ?x1 WHERE { dbr:Frank_Sinatra_filmography dbo:birthPlace ?x1 }
90. How much is the area of UK ?,((reverse fb:phrase.prop.part) fb:phrase.uk),SELECT DISTINCT ?x1 WHERE { dbr:.uk dbo:part ?x1 }
90. How much is the area of UK ?,((reverse fb:phrase.prop.part) fb:phrase.UK),SELECT DISTINCT ?x1 WHERE { dbr:@UK dbo:part ?x1 }
90. How much is the area of UK ?,((reverse fb:phrase.prop.part) fb:phrase.Parkinsons_UK),SELECT DISTINCT ?x1 WHERE { dbr:Parkinson's_UK dbo:part ?x1 }
91. In which place did Abraham Lincoln die?,(fb:phrase.prop.place ((reverse fb:phrase.prop.deathCause) fb:phrase.Abraham_Lincoln)),SELECT DISTINCT ?x2 WHERE { dbr:Abraham_Lincoln dbo:deathCause ?x1 . ?x2 dbo:place ?x1 }
91. In which place did Abraham Lincoln die?,(fb:phrase.prop.place ((reverse fb:phrase.prop.flag) fb:phrase.Abraham_Lincoln)),SELECT DISTINCT ?x2 WHERE { dbr:Abraham_Lincoln dbo:flag ?x1 . ?x2 dbo:place ?x1 }
91. In which place did Abraham Lincoln die?,(fb:phrase.prop.place ((reverse fb:phrase.prop.voice) fb:phrase.Abraham_Lincoln)),SELECT DISTINCT ?x2 WHERE { dbr:Abraham_Lincoln dbo:voice ?x1 . ?x2 dbo:place ?x1 }
92. What other companies were founded by the founder of Facebook?,(fb:phrase.prop.party (fb:phrase.prop.foundedBy ((reverse fb:phrase.prop.founder) fb:phrase.Facebook))),SELECT DISTINCT ?x3 WHERE { dbr:Facebook dbo:founder ?x1 . ?x2 dbo:foundedBy ?x1 . ?x3 dbo:party ?x2 }
92. What other companies were founded by the founder of Facebook?,(fb:phrase.prop.party (fb:phrase.prop.foundedBy ((reverse fb:phrase.prop.founder) fb:phrase.Facebook_Paper))),SELECT DISTINCT ?x3 WHERE { dbr:Facebook_Paper dbo:founder ?x1 . ?x2 dbo:foundedBy ?x1 . ?x3 dbo:party ?x2 }
92. What other companies were founded by the founder of Facebook?,(fb:phrase.prop.party (fb:phrase.prop.foundedBy ((reverse fb:phrase.prop.founder) fb:phrase.Censorship_of_Facebook))),SELECT DISTINCT ?x3 WHERE { dbr:Censorship_of_Facebook dbo:founder ?x1 . ?x2 dbo:foundedBy ?x1 . ?x3 dbo:party ?x2 }
93. Who is the composer of the soundtrack of Cameron's Titanic?,((reverse fb:phrase.prop.composer) (and (fb:rdf.type.prop fb:nounphrase.Film) fb:phrase.Remember_the_Titans)),SELECT DISTINCT ?x3 WHERE { ?x1 rdf:type dbr:Fring . FILTER (?x1 = dbr:Remember_the_Titans) . ?x1 fb:type.object.type ?x2 . ?x1 dbo:composer ?x3 }
93. Who is the composer of the soundtrack of Cameron's Titanic?,((reverse fb:phrase.prop.composer) (and (fb:rdf.type.prop fb:nounphrase.Film) fb:phrase.SOS_Titanic)),SELECT DISTINCT ?x3 WHERE { ?x1 rdf:type dbr:Fring . FILTER (?x1 = dbr:S.O.S._Titanic) . ?x1 fb:type.object.type ?x2 . ?x1 dbo:composer ?x3 }
93. Who is the composer of the soundtrack of Cameron's Titanic?,((reverse fb:phrase.prop.composer) (and (fb:rdf.type.prop fb:nounphrase.Film) fb:phrase.Back_to_Titanic)),SELECT DISTINCT ?x3 WHERE { ?x1 rdf:type dbr:Fring . FILTER (?x1 = dbr:Back_to_Titanic) . ?x1 fb:type.object.type ?x2 . ?x1 dbo:composer ?x3 }
94. How many times did Jane Fonda marry ?,(count (fb:phrase.prop.era ((reverse fb:phrase.prop.spouse) fb:phrase.Jane_Fonda))),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { dbr:Jane_Fonda dbo:spouse ?x3 . ?x2 dbo:era ?x3 }
94. How many times did Jane Fonda marry ?,(count (fb:phrase.prop.era ((reverse fb:phrase.prop.parent) fb:phrase.Jane_Fonda))),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { dbr:Jane_Fonda dbo:parent ?x3 . ?x2 dbo:era ?x3 }
94. How many times did Jane Fonda marry ?,(count (fb:phrase.prop.era ((reverse fb:phrase.prop.child) fb:phrase.Jane_Fonda))),SELECT DISTINCT (count(DISTINCT ?x2) AS ?x1) WHERE { dbr:Jane_Fonda dbo:child ?x3 . ?x2 dbo:era ?x3 }
95. what all tv series Walt Disney create ?,(fb:phrase.prop.series ((reverse fb:phrase.prop.type) fb:phrase.Walt_Disney)),SELECT DISTINCT ?x2 WHERE { dbr:Walt_Disney dbo:type ?x1 . ?x2 dbo:series ?x1 }
95. what all tv series Walt Disney create ?,(fb:phrase.prop.series ((reverse fb:phrase.prop.ground) fb:phrase.Walt_Disney)),SELECT DISTINCT ?x2 WHERE { dbr:Walt_Disney dbo:ground ?x1 . ?x2 dbo:series ?x1 }
95. what all tv series Walt Disney create ?,(fb:phrase.prop.series ((reverse fb:phrase.prop.product) fb:phrase.Walt_Disney)),SELECT DISTINCT ?x2 WHERE { dbr:Walt_Disney dbo:product ?x1 . ?x2 dbo:series ?x1 }
96. List all the books in Asimov 's Foundation series .,(fb:phrase.prop.volume fb:phrase.Robot_series_Asimov),SELECT DISTINCT ?x1 WHERE { ?x1 dbo:volume dbr:Robot_series_(Asimov) }
96. List all the books in Asimov 's Foundation series .,(and (fb:rdf.type.prop fb:nounphrase.Book) fb:phrase.Robot_series_Asimov),SELECT DISTINCT ?x1 ?x1name WHERE { ?x1 rdf:type dbr:Facebook . FILTER (?x1 = dbr:Robot_series_(Asimov)) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
96. List all the books in Asimov 's Foundation series .,(and (fb:rdf.type.prop fb:nounphrase.Magazine) fb:phrase.Robot_series_Asimov),SELECT DISTINCT ?x1 ?x1name WHERE { ?x1 rdf:type dbr:Spain . FILTER (?x1 = dbr:Robot_series_(Asimov)) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
97. When will the movie Worst Case Scenario hit cinemas in the Netherlands ?,(and fb:phrase.Worst_Case_Scenario_film (and fb:phrase.Hit (fb:phrase.prop.picture fb:phrase.Netherlands))),SELECT DISTINCT ?x1 ?x1name WHERE { FILTER (dbr:Worst_Case_Scenario_(film) = dbr:Hit!) . dbr:Worst_Case_Scenario_(film) dbo:picture dbr:Netherlands . FILTER (?x1 = dbr:Worst_Case_Scenario_(film)) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
97. When will the movie Worst Case Scenario hit cinemas in the Netherlands ?,(and fb:phrase.Worst_Case_Scenario_film (and fb:phrase.Hit (fb:phrase.prop.picture fb:phrase.Walem_Netherlands))),"SELECT DISTINCT ?x1 ?x1name WHERE { FILTER (dbr:Worst_Case_Scenario_(film) = dbr:Hit!) . dbr:Worst_Case_Scenario_(film) dbo:picture dbr:Walem,_Netherlands . FILTER (?x1 = dbr:Worst_Case_Scenario_(film)) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }"
97. When will the movie Worst Case Scenario hit cinemas in the Netherlands ?,(and fb:phrase.Worst_Case_Scenario_film (and fb:phrase.Hit (fb:phrase.prop.picture fb:phrase.Strype_Netherlands))),"SELECT DISTINCT ?x1 ?x1name WHERE { FILTER (dbr:Worst_Case_Scenario_(film) = dbr:Hit!) . dbr:Worst_Case_Scenario_(film) dbo:picture dbr:Strype,_Netherlands . FILTER (?x1 = dbr:Worst_Case_Scenario_(film)) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }"
98. Does James Bond have a spouse?,((reverse fb:phrase.prop.spouse) fb:phrase.James_Bond),SELECT DISTINCT ?x1 WHERE { dbr:James_Bond dbo:spouse ?x1 }
98. Does James Bond have a spouse?,((reverse fb:phrase.prop.partner) fb:phrase.James_Bond),SELECT DISTINCT ?x1 WHERE { dbr:James_Bond dbo:partner ?x1 }
98. Does James Bond have a spouse?,((reverse fb:phrase.prop.spouse) fb:phrase.James_Bond_filmography),SELECT DISTINCT ?x1 WHERE { dbr:James_Bond_filmography dbo:spouse ?x1 }
99. What number of airlines are part of the Star Alliance ?,((reverse fb:phrase.prop.number) (fb:phrase.prop.suborbitalFlights ((reverse fb:phrase.prop.role) fb:phrase.Star_Alliance))),SELECT DISTINCT ?x3 WHERE { dbr:Star_Alliance dbo:role ?x1 . ?x2 dbo:suborbitalFlights ?x1 . ?x2 dbo:number ?x3 }
99. What number of airlines are part of the Star Alliance ?,((reverse fb:phrase.prop.number) (fb:phrase.prop.suborbitalFlights ((reverse fb:phrase.prop.role) fb:phrase.Star))),SELECT DISTINCT ?x3 WHERE { dbr:Star dbo:role ?x1 . ?x2 dbo:suborbitalFlights ?x1 . ?x2 dbo:number ?x3 }
99. What number of airlines are part of the Star Alliance ?,((reverse fb:phrase.prop.number) (fb:phrase.prop.suborbitalFlights ((reverse fb:phrase.prop.role) fb:phrase.Alliance))),SELECT DISTINCT ?x3 WHERE { dbr:Alliance dbo:role ?x1 . ?x2 dbo:suborbitalFlights ?x1 . ?x2 dbo:number ?x3 }
100. When did Latvia become part of the EU? ,(and fb:phrase.Latvia ((reverse fb:phrase.prop.role) fb:phrase.Eus)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:Eus dbo:role dbr:Latvia . FILTER (?x1 = dbr:Latvia) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
100. When did Latvia become part of the EU? ,(and fb:phrase.Latvia ((reverse fb:phrase.prop.role) fb:phrase.Eu)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:Eus dbo:role dbr:Latvia . FILTER (?x1 = dbr:Latvia) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
100. When did Latvia become part of the EU? ,(and fb:phrase.Latvia ((reverse fb:phrase.prop.role) fb:phrase.EUS)),SELECT DISTINCT ?x1 ?x1name WHERE { dbr:EUS dbo:role dbr:Latvia . FILTER (?x1 = dbr:Latvia) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
101. Which soccer players has Malta as birth place?,(and (fb:rdf.type.prop fb:nounphrase.SoccerPlayer) ((reverse fb:phrase.prop.birthPlace) fb:phrase.Malta)),SELECT DISTINCT ?x1 WHERE { ?x1 rdf:type dbr:pe.prop fb:nounphrase.SoccerPlayer) . dbr:Malta dbo:birthPlace ?x1 }
